;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Justin Tucker;BAL;26;K;16;0;;;10;10;9;9;11;10;10;4;40;33;52;82.50%;29;29;100.00%;74;4753;63;85.10%;64.2
2;Blair Walsh;MIN;25;K;16;0;;;9;9;15;13;7;6;8;6;39;34;54;87.20%;37;33;89.20%;86;5651;47;54.70%;65.7
3;Robbie Gould;CHI;33;K;16;0;1;1;8;8;12;10;9;7;9;7;39;33;55;84.60%;29;28;96.60%;83;5003;39;47.00%;60.3
4;Cairo Santos;KAN;24;K;16;0;;;8;7;10;10;11;9;8;4;37;30;53;81.10%;41;39;95.10%;90;5721;40;44.40%;63.6
5;Graham Gano;CAR;28;K;16;0;1;1;10;10;5;4;16;13;4;2;36;30;52;83.30%;59;56;94.90%;102;6706;69;67.60%;65.7
6;Stephen Gostkowski*+;NWE;31;K;16;0;;;6;6;11;11;14;12;5;4;36;33;57;91.70%;52;52;100.00%;99;6249;69;69.70%;63.1
7;Brandon McManus;DEN;24;K;16;0;;;12;12;8;8;8;5;7;5;35;30;57;85.70%;36;35;97.20%;81;5046;55;67.90%;62.3
8;Josh Brown*;NYG;36;K;16;0;1;1;6;6;12;12;10;8;3;3;32;30;53;93.80%;45;44;97.80%;93;5697;37;39.80%;61.3
9;Josh Lambo;SDG;25;K;16;0;;;4;4;7;7;16;11;5;4;32;26;54;81.30%;32;28;87.50%;75;4783;41;54.70%;63.8
10;Chris Boswell;PIT;24;K;12;0;1;1;9;9;8;8;12;9;2;2;32;29;51;90.60%;27;26;96.30%;74;4680;26;35.10%;63.2
11;Dan Bailey*;DAL;27;K;16;0;;;9;9;10;10;7;6;6;5;32;30;54;93.80%;25;25;100.00%;73;4620;49;67.10%;63.3
12;Travis Coons;CLE;23;K;16;0;;;11;11;10;10;9;7;2;;32;28;47;87.50%;24;22;91.70%;70;4420;27;38.60%;63.1
13;Chandler Catanzaro;ARI;24;K;16;0;1;1;12;12;9;9;7;6;2;;31;28;47;90.30%;58;53;91.40%;99;6445;50;50.50%;65.1
14;Stephen Hauschka;SEA;30;K;16;0;;;9;9;7;7;9;7;6;6;31;29;54;93.50%;44;40;90.90%;91;5869;47;51.60%;64.5
15;Jason Myers;JAX;24;K;16;0;;;10;9;8;8;8;6;4;3;30;26;58;86.70%;39;32;82.10%;84;5208;55;65.50%;62
16;Greg Zuerlein;STL;28;K;14;0;1;1;2;2;10;9;8;5;9;3;30;20;61;66.70%;28;26;92.90%;64;4168;38;59.40%;65.1
17;Mike Nugent;CIN;33;K;16;0;;;6;6;6;5;13;10;3;2;28;23;52;82.10%;49;48;98.00%;89;5786;42;47.20%;65
18;Dustin Hopkins;WAS;25;K;15;0;;;7;7;9;9;8;7;4;2;28;25;54;89.30%;40;39;97.50%;80;4967;52;65.00%;62.1
19;Mason Crosby;GNB;31;K;16;0;1;1;7;7;4;4;11;8;5;4;28;24;56;85.70%;36;36;100.00%;80;5050;41;51.30%;63.1
20;Connor Barth;TAM;29;K;12;0;;;9;9;8;8;6;3;5;3;28;23;53;82.10%;26;25;96.20%;64;4062;32;50.00%;63.5
21;Dan Carpenter;BUF;30;K;16;0;;;5;5;9;8;8;7;5;3;27;23;52;85.20%;40;34;85.00%;4;213;;;53.3
22;Adam Vinatieri;IND;43;K;16;0;;;8;7;6;6;8;8;5;4;27;25;55;92.60%;35;32;91.40%;;;;;
23;Phil Dawson;SFO;40;K;16;0;;;10;9;6;6;8;6;3;3;27;24;54;88.90%;21;20;95.20%;6;268;;;44.7
24;Sebastian Janikowski;OAK;37;K;16;0;;;7;7;6;5;8;5;5;4;26;21;56;80.80%;39;38;97.40%;79;4941;44;55.70%;62.5
25;Matt Prater;DET;31;K;16;0;;;3;3;9;8;6;6;6;5;24;22;59;91.70%;39;36;92.30%;4;223;;;55.8
26;Randy Bullock;2TM;26;K;11;0;1;1;4;4;6;6;11;8;1;;23;19;49;82.60%;25;22;88.00%;56;3617;30;53.60%;64.6
27;Caleb Sturgis;PHI;26;K;13;0;;;4;4;10;8;4;4;4;2;22;18;53;81.80%;37;35;94.60%;68;4171;39;57.40%;61.3
28;Nick Novak;HOU;34;K;13;0;;;6;6;6;6;4;4;5;2;21;18;51;85.70%;31;29;93.50%;62;4006;23;37.10%;64.6
29;Matt Bryant;ATL;40;K;10;0;1;1;4;4;4;3;9;6;;;18;14;47;77.80%;26;26;100.00%;;;;;
30;Andrew Franks;MIA;22;K;16;0;1;1;3;3;4;4;6;4;2;1;16;13;53;81.30%;36;33;91.70%;66;4133;44;66.70%;62.6
31;Ryan Succop;TEN;29;K;16;0;;;3;3;3;3;7;7;3;1;16;14;51;87.50%;31;29;93.50%;66;4272;43;65.20%;64.7
32;Nick Folk;NYJ;31;K;8;0;;;2;2;6;6;6;3;2;2;16;13;55;81.30%;19;19;100.00%;39;2466;13;33.30%;63.2
33;Kai Forbath;2TM;28;K;11;0;;;3;2;4;3;5;3;3;2;15;10;57;66.70%;35;34;97.10%;52;3410;22;42.30%;65.6
34;Zach Hocker;2TM;24;K;8;0;;;3;3;6;5;3;1;2;1;14;10;51;71.40%;13;12;92.30%;12;777;9;75.00%;64.8
35;Shayne Graham;ATL;38;K;5;0;;;2;2;4;4;4;2;3;3;13;11;54;84.60%;8;8;100.00%;;;;;
36;Kyle Brindza;TAM;22;K;4;0;;;2;1;3;2;3;1;4;2;12;6;58;50.00%;8;6;75.00%;18;1131;12;66.70%;62.8
37;Josh Scobee;PIT;33;K;4;0;;;2;2;1;1;7;3;;;10;6;45;60.00%;7;6;85.70%;20;1251;12;60.00%;62.6
38;Cody Parkey;PHI;23;K;3;0;;;1;1;1;1;2;1;;;4;3;46;75.00%;7;7;100.00%;13;754;3;23.10%;58
39;Ryan Quigley;NYJ;25;P;15;0;;;;;;;;;;;;;;;4;4;100.00%;5;337;1;20.00%;67.4
40;Jordan Gay;BUF;25;P;14;0;;;;;;;;;;;;;;;;;;77;4815;42;54.50%;62.5
41;Pat McAfee;IND;28;K;16;0;;;;;;;;;;;;;;;;;;77;4832;67;87.00%;62.8
42;Matthew Bosher;ATL;28;K;16;0;;;;;;;;;;;;;;;;;;76;4875;52;68.40%;64.1
43;Sam Martin;DET;25;P;16;0;;;;;;;;;;;;;;;;;;73;4603;40;54.80%;63.1
44;Bradley Pinion;SFO;21;P;16;0;;;;;;;;;;;;;;;;;;57;3707;38;66.70%;65
45;Thomas Morstead;NOR;29;P;14;0;;;;;;;;;;;;;;;;;;23;1455;16;69.60%;63.3
46;Matt Darr;MIA;23;P;16;0;;;;;;;;;;;;;;;;;;6;258;;;43
47;Nate Ebner;NWE;27;DB;15;0;;;;;;;;;;;;;;;;;;2;35;;;17.5
48;Johnny Hekker*+;STL;25;P;16;0;;;;;;;;;;;;;;;;;;2;133;1;50.00%;66.5
49;Marquette King;OAK;27;P;16;0;;;;;;;;;;;;;;;;;;2;123;;;61.5
50;Tress Way;WAS;25;P;16;0;;;;;;;;;;;;;;;;;;2;120;;;60
51;Britton Colquitt;DEN;30;P;16;0;;;;;;;;;;;;;;;;;;1;63;;;63
52;Jeff Locke;MIN;26;P;16;0;;;;;;;;;;;;;;;;;;1;44;;;44
53;Tim Masthay;GNB;28;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56
54;Brad Nortman;CAR;26;P;16;0;;;;;;;;;;;;;;;;;;1;51;;;51
55;Jon Ryan;SEA;34;P;16;0;;;;;;;;;;;;;;;;;;1;61;;;61
56;Mike Scifres;SDG;35;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56
